timestamp,time,mac_address,rssi,tx_power,rawX,rawY,pos_z,position_calculation_timestamp,position_calculation_status,markers_info,expectedX,expectedY,errorX,errorY,euclideanError
1764640587753,2025-12-02 10:56:27.753,AC:23:3F:26:3E:F2,-85,127,0.7330055914816005,25.769802431963672,1.4235642523264624,1764640587753,calculated,,0.6405048080129517,25.648486498521923,0.09250078346864876,0.12131593344174973,0.15255802387667747
1764640587904,2025-12-02 10:56:27.904,68:9E:19:03:95:F1,-74,127,0.7252608908959104,25.74179134521773,1.4235642523264624,1764640587904,calculated,,0.6406714823418623,25.595363532669666,0.08458940855404806,0.14642781254806536,0.16910491514777157
1764640588052,2025-12-02 10:56:28.052,AC:23:3F:26:3E:EF,-71,127,0.7374926364922931,25.702948038120528,1.414640323218962,1764640588052,calculated,,0.6408348452602647,25.543295989980034,0.09665779123202844,0.15965204814049372,0.18663200444004485
1764640588140,2025-12-02 10:56:28.140,AC:23:3F:26:3E:EF,-81,127,0.7330055914816005,25.69315000388954,1.414640323218962,1764640588140,calculated,,0.640931979968504,25.51233691054296,0.09207361151309645,0.18081309334657902,0.20290619670829008
1764640588313,2025-12-02 10:56:28.313,68:9E:19:03:95:F1,-86,127,0.7168669865846182,25.618407602457765,1.4012417041321596,1764640588313,calculated,,0.6411229379744744,25.451474174831432,0.07574404861014383,0.1669334276263328,0.18331374787214383
1764640588400,2025-12-02 10:56:28.400,68:9E:19:03:95:84,-68,127,0.6943567294783968,25.488474663040964,1.4235642523264624,1764640588400,calculated,,0.6412189688792109,25.42086690311523,0.053137760599185846,0.06760775992573542,0.08599087628156991
1764640588583,2025-12-02 10:56:28.583,68:9E:19:03:95:84,-73,127,0.6890537582913002,25.46621987756584,1.4036330764280192,1764640588583,calculated,,0.6414209649202085,25.356486090194945,0.04763279337109172,0.1097337873708959,0.11962603017359603
1764640588694,2025-12-02 10:56:28.694,68:9E:19:03:95:84,-70,127,0.6483359590271667,25.368841481036164,1.4263982371243658,1764640588694,calculated,,0.6415434871090103,25.31743543317772,0.006792471918156351,0.051406047858442605,0.05185286328818722
1764640588866,2025-12-02 10:56:28.866,AC:23:3F:26:3E:EF,-76,127,0.6483359590271667,25.33673851630472,1.4262211083588778,1764640588866,calculated,,0.6417333413114781,25.25692450518707,0.006602617715688597,0.07981401111765152,0.08008664639868575
1764640588913,2025-12-02 10:56:28.913,68:9E:19:03:95:84,-70,127,0.6293604713637059,25.306726831015165,1.3964104844313066,1764640588913,calculated,,0.6417852200761058,25.240389542305902,-0.012424748712399958,0.06633728870926348,0.06749081607050296
1764640589159,2025-12-02 10:56:29.159,AC:23:3F:26:3E:F2,-85,127,0.6234852815755944,25.30321236183778,1.4113334207663366,1764640589159,calculated,,0.6420567557377748,25.153844842970436,-0.018571474162180412,0.14936751886734356,0.15051762469937788
1764640589219,2025-12-02 10:56:29.219,68:9E:19:03:95:84,-72,127,0.6293604713637059,25.26894680895689,1.3937810462845177,1764640589219,calculated,,0.6421229839479379,25.132736379717883,-0.012762512584232,0.13621042923900717,0.13680702745450343
1764640589465,2025-12-02 10:56:29.465,68:9E:19:03:95:F1,-82,127,0.6363314944804741,25.16472034562544,1.3885977579198767,1764640589465,calculated,,0.6423945196096068,25.046191680382417,-0.006063025129132704,0.11852866524302286,0.1186836330671128
1764640589651,2025-12-02 10:56:29.651,68:9E:19:03:95:84,-69,127,0.6472226623286793,25.137311242719296,1.379506850139881,1764640589651,calculated,,0.6425998270611125,24.980755444299504,0.004622835267566794,0.15655579841979161,0.1566240359101038
1764640589757,2025-12-02 10:56:29.757,68:9E:19:03:95:84,-68,127,0.6614454488034046,25.039615714117204,1.379506850139881,1764640589757,calculated,,0.6427168302324008,24.94346382588666,0.01872861857100383,0.0961518882305441,0.09795890344362372
1764640590040,2025-12-02 10:56:30.040,68:9E:19:03:95:84,-67,127,0.6886039283167342,24.9464763274818,1.3818156726746138,1764640590040,calculated,,0.6430292066236702,24.843902240878787,0.04557472169306398,0.10257408660301337,0.1122430331906739
1764640590188,2025-12-02 10:56:30.188,68:9E:19:03:95:F1,-78,127,0.6886039283167342,24.9464763274818,1.3818156726746138,1764640590188,calculated,,0.6431925695420727,24.791834698189156,0.045411358774661514,0.15464162929264447,0.1611714150091284
1764640590283,2025-12-02 10:56:30.283,68:9E:19:03:95:84,-68,127,0.6904520295360116,24.843634746520465,1.3789284110112543,1764640590283,calculated,,0.643297430874831,24.758412964705947,0.04715459866118055,0.08522178181451778,0.09739768103265234
1764640590460,2025-12-02 10:56:30.460,AC:23:3F:26:3E:F2,-73,127,0.6904520295360116,24.80788097181184,1.3789284110112543,1764640590460,calculated,,0.6434928040948122,24.69614299811092,0.04695922544119935,0.11173797370092231,0.12120455280568214
1764640590566,2025-12-02 10:56:30.566,AC:23:3F:26:3E:F2,-76,127,0.6886039283167342,24.80645122249497,1.3818156726746138,1764640590566,calculated,,0.6436098072661005,24.658851379698074,0.04499412105063372,0.14759984279689675,0.15430549090290893
1764640590746,2025-12-02 10:56:30.746,AC:23:3F:26:3E:F1,-55,127,0.6886039283167342,24.760776058362843,1.3908454597785829,1764640590746,calculated,,0.64380849189659,24.595525989940416,0.044795436420144275,0.16525006842242718,0.17121394872406878
1764640590827,2025-12-02 10:56:30.827,68:9E:19:03:95:F1,-75,127,0.6698343092926617,24.743141393370912,1.3984811344888954,1764640590827,calculated,,0.6438978999803102,24.567029564549472,0.025936409312351527,0.1761118288214405,0.17801144226945131
1764640591050,2025-12-02 10:56:31.050,68:9E:19:03:95:F1,-88,127,0.6566398674906256,24.594951835873736,1.3984811344888954,1764640591050,calculated,,0.6441440481614166,24.488576442794148,0.012495819329209068,0.10637539307958832,0.10710681469236755
1764640591246,2025-12-02 10:56:31.246,68:9E:19:03:95:F1,-74,127,0.6289223382608093,24.56747544316996,1.4027301345538852,1764640591246,calculated,,0.6443603936479495,24.41962212950248,-0.01543805538714016,0.14785331366748267,0.14865710853030684
1764640591364,2025-12-02 10:56:31.364,AC:23:3F:26:3E:F1,-67,127,0.6175287739955798,24.478855831326733,1.4126361937231375,1764640591364,calculated,,0.6444906424612703,24.378108818439124,-0.026961868465690486,0.10074701288760934,0.1042923916541246
1764640591525,2025-12-02 10:56:31.525,68:9E:19:03:95:84,-80,127,0.6175287739955798,24.464927370814006,1.427392820448996,1764640591525,calculated,,0.6446683548252081,24.321467775378107,-0.027139580829628307,0.1434595954358997,0.1460041518938415
